feat_3,feat_4
8,48
6,15
10,67
8,28
3,31
3,30
1,23
1,43
8,55
6,80
5,86
2,31
6,25
8,49
3,71
9,30
8,51
4,84
3,41
4,70
3,77
3,72
8,67
5,16
8,50
0,47
0,82
7,28
8,33
10,32
1,69
2,8
4,51
0,17
3,49
8,7
1,4
5,41
4,24
5,81
4,25
4,8
9,82
7,38
5,42
6,15
4,-1
8,7
5,80
5,63
6,7
5,12
4,4
1,80
8,60
4,48
6,38
2,79
10,30
9,39
0,38
8,33
6,73
8,17
0,2
5,16
3,86
7,19
9,-5
9,80
0,50
5,9
7,86
5,42
3,85
0,19
5,19
5,46
4,31
2,-3
3,43
4,79
1,47
1,82
2,58
6,52
8,20
6,45
0,8
7,26
5,41
2,22
5,72
5,80
-1,56
5,51
5,76
9,17
4,23
7,74
1,82
7,52
5,-5
9,14
3,37
5,78
0,0
8,-3
8,48
5,65
7,57
7,62
10,68
4,10
6,58
7,29
7,1
2,66
3,92
6,3
9,35
6,1
6,28
2,9
2,-4
2,30
6,91
10,55
6,34
8,34
4,9
4,44
5,54
3,48
6,9
7,4
7,86
4,69
8,43
4,69
1,12
1,93
1,44
2,81
3,23
7,56
9,6
6,50
1,83
0,20
4,35
6,71
6,22
5,82
0,-2
2,82
1,76
5,39
9,9
7,39
3,28
2,42
1,31
6,90
2,55
10,77
3,16
8,85
3,49
7,11
3,84
3,49
9,2
0,89
3,82
2,14
7,83
0,59
5,58
5,22
3,13
8,36
6,3
3,12
5,48
10,91
-1,66
4,39
6,88
0,11
3,58
2,65
9,71
9,5
0,18
4,7
9,45
9,8
6,41
1,84
3,33
3,27
2,54
9,81
4,68
8,27
3,42
10,16
7,75
4,66
0,40
1,93
4,18
2,33
1,25
0,67
8,32
1,39
9,69
5,20
8,81
9,59
5,65
5,87
3,38
2,89
0,54
8,12
6,57
4,24
8,74
2,6
7,14
4,49
0,31
8,44
5,44
8,70
1,91
4,57
4,75
1,86
1,59
5,73
5,27
2,2
6,59
10,10
1,6
4,60
9,82
0,55
0,10
6,85
0,4
1,88
-1,42
2,81
3,7
7,14
5,1
7,28
7,79
3,57
6,74
6,86
6,9
10,35
0,1
0,82
7,41
4,33
8,5
9,19
0,11
5,2
4,53
0,24
8,90
8,59
4,65
2,56
1,1
7,54
2,52
9,44
5,29
4,15
2,65
3,50
4,59
5,26
0,64
1,53
5,48
0,18
8,66
4,39
0,6
-1,5
3,47
4,57
4,18
5,4
9,32
4,70
0,2
5,27
2,36
2,6
7,41
4,57
6,40
0,26
2,25
8,66
1,38
6,42
1,22
7,61
6,78
9,50
1,88
0,87
7,57
2,29
1,44
2,79
4,1
9,5
9,23
10,19
5,74
3,55
1,63
7,44
5,16
-1,37
8,22
6,70
5,34
-1,84
0,28
8,68
2,41
2,16
7,6
5,55
8,54
4,71
6,34
6,75
9,9
2,41
2,66
6,59
1,32
1,10
0,27
10,23
8,30
3,20
-1,83
3,63
8,24
2,24
7,36
8,41
5,36
3,17
4,81
5,28
4,28
2,53
2,2
5,66
-1,40
